optimizer,dropout_rate,units_per_layer,batch_size,epochs,num_layers,activation,loss
adam,0.2,[10],16,20,5,relu,0.22958454489707947
adam,0.2,[10],16,20,5,sigmoid,2.194265365600586
adam,0.2,[10],16,20,7,relu,0.1313076913356781
adam,0.2,[10],16,20,7,sigmoid,0.46493852138519287
adam,0.2,[10],32,20,5,relu,0.1547527313232422
adam,0.2,[10],32,20,5,sigmoid,0.12392761558294296
adam,0.2,[10],32,20,7,relu,0.2602047026157379
adam,0.2,[10],32,20,7,sigmoid,0.14599637687206268
adam,0.2,"[10, 50]",16,20,5,relu,0.16569948196411133
adam,0.2,"[10, 50]",16,20,5,sigmoid,0.21306605637073517
adam,0.2,"[10, 50]",16,20,7,relu,0.17404861748218536
adam,0.2,"[10, 50]",16,20,7,sigmoid,0.2659008204936981
adam,0.2,"[10, 50]",32,20,5,relu,0.25253668427467346
adam,0.2,"[10, 50]",32,20,5,sigmoid,0.23679688572883606
adam,0.2,"[10, 50]",32,20,7,relu,0.1803027242422104
adam,0.2,"[10, 50]",32,20,7,sigmoid,0.19583116471767426
adam,0.3,[10],16,20,5,relu,0.25861817598342896
adam,0.3,[10],16,20,5,sigmoid,0.14959511160850525
adam,0.3,[10],16,20,7,relu,0.21529754996299744
adam,0.3,[10],16,20,7,sigmoid,0.10583966970443726
adam,0.3,[10],32,20,5,relu,0.227083221077919
adam,0.3,[10],32,20,5,sigmoid,0.16507871448993683
adam,0.3,[10],32,20,7,relu,0.19073787331581116
adam,0.3,[10],32,20,7,sigmoid,0.36299967765808105
adam,0.3,"[10, 50]",16,20,5,relu,0.2688356935977936
adam,0.3,"[10, 50]",16,20,5,sigmoid,0.34553152322769165
adam,0.3,"[10, 50]",16,20,7,relu,0.19081731140613556
adam,0.3,"[10, 50]",16,20,7,sigmoid,0.26397788524627686
adam,0.3,"[10, 50]",32,20,5,relu,0.16857101023197174
adam,0.3,"[10, 50]",32,20,5,sigmoid,0.2038879543542862
adam,0.3,"[10, 50]",32,20,7,relu,0.20396631956100464
adam,0.3,"[10, 50]",32,20,7,sigmoid,0.19827190041542053
rmsprop,0.2,[10],16,20,5,relu,0.16948989033699036
rmsprop,0.2,[10],16,20,5,sigmoid,0.11545325070619583
rmsprop,0.2,[10],16,20,7,relu,0.257075697183609
rmsprop,0.2,[10],16,20,7,sigmoid,0.4608498215675354
rmsprop,0.2,[10],32,20,5,relu,0.16883444786071777
rmsprop,0.2,[10],32,20,5,sigmoid,0.1266544908285141
rmsprop,0.2,[10],32,20,7,relu,0.25756195187568665
rmsprop,0.2,[10],32,20,7,sigmoid,0.150178462266922
rmsprop,0.2,"[10, 50]",16,20,5,relu,0.21857520937919617
rmsprop,0.2,"[10, 50]",16,20,5,sigmoid,0.16820764541625977
rmsprop,0.2,"[10, 50]",16,20,7,relu,0.19339510798454285
rmsprop,0.2,"[10, 50]",16,20,7,sigmoid,0.1558282971382141
rmsprop,0.2,"[10, 50]",32,20,5,relu,0.19603212177753448
rmsprop,0.2,"[10, 50]",32,20,5,sigmoid,0.1584658920764923
rmsprop,0.2,"[10, 50]",32,20,7,relu,0.13249222934246063
rmsprop,0.2,"[10, 50]",32,20,7,sigmoid,0.17116841673851013
rmsprop,0.3,[10],16,20,5,relu,0.2917928397655487
rmsprop,0.3,[10],16,20,5,sigmoid,0.4236198663711548
rmsprop,0.3,[10],16,20,7,relu,0.1779869645833969
rmsprop,0.3,[10],16,20,7,sigmoid,0.1015436127781868
rmsprop,0.3,[10],32,20,5,relu,0.442095011472702
rmsprop,0.3,[10],32,20,5,sigmoid,0.650180459022522
rmsprop,0.3,[10],32,20,7,relu,0.14715608954429626
rmsprop,0.3,[10],32,20,7,sigmoid,0.19027797877788544
rmsprop,0.3,"[10, 50]",16,20,5,relu,0.2560782730579376
rmsprop,0.3,"[10, 50]",16,20,5,sigmoid,0.23144644498825073
rmsprop,0.3,"[10, 50]",16,20,7,relu,0.20992110669612885
rmsprop,0.3,"[10, 50]",16,20,7,sigmoid,0.16289180517196655
rmsprop,0.3,"[10, 50]",32,20,5,relu,0.22645734250545502
rmsprop,0.3,"[10, 50]",32,20,5,sigmoid,0.1764458864927292
rmsprop,0.3,"[10, 50]",32,20,7,relu,0.23116233944892883
rmsprop,0.3,"[10, 50]",32,20,7,sigmoid,0.17036396265029907
