optimizer,dropout_rate,units_per_layer,batch_size,epochs,num_layers,activation,loss
adam,0.2,[10],16,20,5,relu,0.31133922934532166
adam,0.2,[10],16,20,5,sigmoid,0.5668501853942871
adam,0.2,[10],16,20,7,relu,0.28080451488494873
adam,0.2,[10],16,20,7,sigmoid,0.8222116827964783
adam,0.2,[10],32,20,5,relu,0.1924402415752411
adam,0.2,[10],32,20,5,sigmoid,0.16872580349445343
adam,0.2,[10],32,20,7,relu,0.23140275478363037
adam,0.2,[10],32,20,7,sigmoid,0.11607252061367035
adam,0.2,"[10, 50]",16,20,5,relu,0.16047939658164978
adam,0.2,"[10, 50]",16,20,5,sigmoid,0.19071754813194275
adam,0.2,"[10, 50]",16,20,7,relu,0.3017064034938812
adam,0.2,"[10, 50]",16,20,7,sigmoid,0.26110655069351196
adam,0.2,"[10, 50]",32,20,5,relu,0.18661907315254211
adam,0.2,"[10, 50]",32,20,5,sigmoid,0.22217190265655518
adam,0.2,"[10, 50]",32,20,7,relu,0.21858184039592743
adam,0.2,"[10, 50]",32,20,7,sigmoid,0.15840572118759155
adam,0.3,[10],16,20,5,relu,0.2605677843093872
adam,0.3,[10],16,20,5,sigmoid,0.22823473811149597
adam,0.3,[10],16,20,7,relu,0.14455945789813995
adam,0.3,[10],16,20,7,sigmoid,0.1664661467075348
adam,0.3,[10],32,20,5,relu,0.19149376451969147
adam,0.3,[10],32,20,5,sigmoid,0.43214836716651917
adam,0.3,[10],32,20,7,relu,0.16589675843715668
adam,0.3,[10],32,20,7,sigmoid,0.5317990779876709
adam,0.3,"[10, 50]",16,20,5,relu,0.1679961234331131
adam,0.3,"[10, 50]",16,20,5,sigmoid,0.17313311994075775
adam,0.3,"[10, 50]",16,20,7,relu,0.1683369129896164
adam,0.3,"[10, 50]",16,20,7,sigmoid,0.1453431248664856
adam,0.3,"[10, 50]",32,20,5,relu,0.19150961935520172
adam,0.3,"[10, 50]",32,20,5,sigmoid,0.30180761218070984
adam,0.3,"[10, 50]",32,20,7,relu,0.3154091238975525
adam,0.3,"[10, 50]",32,20,7,sigmoid,0.15650488436222076
rmsprop,0.2,[10],16,20,5,relu,0.2727629542350769
rmsprop,0.2,[10],16,20,5,sigmoid,0.7691671848297119
rmsprop,0.2,[10],16,20,7,relu,0.24418538808822632
rmsprop,0.2,[10],16,20,7,sigmoid,0.179732084274292
rmsprop,0.2,[10],32,20,5,relu,0.15289664268493652
rmsprop,0.2,[10],32,20,5,sigmoid,0.15829026699066162
rmsprop,0.2,[10],32,20,7,relu,0.14903245866298676
rmsprop,0.2,[10],32,20,7,sigmoid,0.24144363403320312
rmsprop,0.2,"[10, 50]",16,20,5,relu,0.2462427020072937
rmsprop,0.2,"[10, 50]",16,20,5,sigmoid,0.17742767930030823
rmsprop,0.2,"[10, 50]",16,20,7,relu,0.23363734781742096
rmsprop,0.2,"[10, 50]",16,20,7,sigmoid,0.25435516238212585
rmsprop,0.2,"[10, 50]",32,20,5,relu,0.16770002245903015
rmsprop,0.2,"[10, 50]",32,20,5,sigmoid,0.16933512687683105
rmsprop,0.2,"[10, 50]",32,20,7,relu,0.1876680552959442
rmsprop,0.2,"[10, 50]",32,20,7,sigmoid,0.1480674296617508
rmsprop,0.3,[10],16,20,5,relu,0.21043452620506287
rmsprop,0.3,[10],16,20,5,sigmoid,0.31953364610671997
rmsprop,0.3,[10],16,20,7,relu,0.23345689475536346
rmsprop,0.3,[10],16,20,7,sigmoid,0.3202303349971771
rmsprop,0.3,[10],32,20,5,relu,0.20254887640476227
rmsprop,0.3,[10],32,20,5,sigmoid,0.15711885690689087
rmsprop,0.3,[10],32,20,7,relu,0.17875534296035767
rmsprop,0.3,[10],32,20,7,sigmoid,0.14882589876651764
rmsprop,0.3,"[10, 50]",16,20,5,relu,0.2559003531932831
rmsprop,0.3,"[10, 50]",16,20,5,sigmoid,0.2090013474225998
rmsprop,0.3,"[10, 50]",16,20,7,relu,0.21616493165493011
rmsprop,0.3,"[10, 50]",16,20,7,sigmoid,0.18882501125335693
rmsprop,0.3,"[10, 50]",32,20,5,relu,0.15772826969623566
rmsprop,0.3,"[10, 50]",32,20,5,sigmoid,0.16530457139015198
rmsprop,0.3,"[10, 50]",32,20,7,relu,0.15366783738136292
rmsprop,0.3,"[10, 50]",32,20,7,sigmoid,0.21471737325191498
